[12-Aug-2024 10:22:08 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 24
[12-Aug-2024 10:22:30 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 24
[12-Aug-2024 10:22:40 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 22
[12-Aug-2024 10:22:50 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
[12-Aug-2024 10:27:48 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected variable "$search_array", expecting ";" or "{" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 17
[12-Aug-2024 10:29:02 America/Sao_Paulo] PHP Parse error:  Unclosed '{' on line 5 in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 80
[12-Aug-2024 10:29:18 America/Sao_Paulo] PHP Fatal error:  Cannot use try without catch or finally in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 19
[12-Aug-2024 10:29:42 America/Sao_Paulo] PHP Parse error:  syntax error, unexpected token ";", expecting "function" or "const" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 28
[12-Aug-2024 10:29:58 America/Sao_Paulo] PHP Parse error:  Unmatched '}' in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 78
[12-Aug-2024 10:30:43 America/Sao_Paulo] PHP Warning:  Undefined array key "patrimonio" in C:\xampp\htdocs\patrimonio\app\control\geral\Leitor.php on line 21
